Name,Region,Area(km2),Population,Density(/km2),latitude,longitude,0_to_24,25_to_64,65_and_over,senior_ratio,nursinghome_count,cluster,1st Most common venue,2nd Most common venue,3rd Most common venue,4th Most common venue,5th Most common venue,6th Most common venue,7th Most common venue,8th Most common venue,9th Most common venue,10th Most common venue
ANG MO KIO,North-East,13.94,163950.0,13400.0,1.3700803,103.8495228,35880,94470,34080,20.7261448640759,4.0,3,Food Court,Coffee Shop,Chinese Restaurant,Park,Dessert Shop,Japanese Restaurant,Fast Food Restaurant,Asian Restaurant,Bar,Bakery
BEDOK,East,21.69,279380.0,13000.0,1.3239765,103.930216,66260,162390,51320,18.3305354145087,6.0,3,Coffee Shop,Chinese Restaurant,Food Court,Café,Asian Restaurant,Supermarket,Bakery,Japanese Restaurant,Fast Food Restaurant,Sandwich Place
BISHAN,Central,7.62,88010.0,12000.0,1.3509859,103.84825507492936,21440,51480,15310,17.35237447580188,2.0,3,Food Court,Seafood Restaurant,Coffee Shop,Chinese Restaurant,Asian Restaurant,Thai Restaurant,Bubble Tea Shop,Japanese Restaurant,Café,Ice Cream Shop
BOON LAY,West,8.23,30.0,3.6,1.313735,103.70677,0,0,0,0.0,0.0,1,Exhibit,Zoo Exhibit,Fishing Spot,Scenic Lookout,Park,Bus Station,Shopping Mall,Bus Stop,Boat or Ferry,Café
BUKIT BATOK,West,11.13,153740.0,14000.0,1.3490572,103.7495906,40220,94010,19910,12.916828856883352,3.0,3,Food Court,Coffee Shop,Fast Food Restaurant,Bus Station,Chinese Restaurant,Malay Restaurant,Café,Frozen Yogurt Shop,Bowling Alley,Sandwich Place
BUKIT MERAH,Central,14.34,151980.0,11000.0,1.2704395,103.82831840176756,32620,87510,32470,21.277850589777195,3.0,1,Clothing Store,Bakery,Multiplex,Food Court,Toy / Game Store,Asian Restaurant,Coffee Shop,Café,Department Store,Sporting Goods Shop
BUKIT PANJANG,West,8.99,139280.0,15000.0,1.380833,103.7625,39680,83580,16440,11.7680744452398,1.0,3,Coffee Shop,Fast Food Restaurant,Shopping Mall,Café,Sushi Restaurant,Asian Restaurant,Supermarket,Food Court,Convenience Store,Bistro
BUKIT TIMAH,Central,17.53,77430.0,4400.0,1.329411,103.802078,22480,42530,12710,16.353576942871847,1.0,1,Bakery,Italian Restaurant,Pizza Place,Café,Food Court,Park,Coffee Shop,Japanese Restaurant,Seafood Restaurant,Building
CENTRAL WATER CATCHMENT,North,37.15,0.0,0.0,1.3757083,103.8017434436911,0,0,0,0.0,0.0,3,Café,Reservoir,Food Court,Business Service,Zoo Exhibit,Field,Exhibit,Farm,Farmers Market,Fast Food Restaurant
CHANGI,East,40.61,1830.0,80.62,1.35107955,103.99006409583149,590,1070,130,7.262569832402235,1.0,1,Airport Lounge,Airport,Airport Service,Snack Place,Boutique,Bubble Tea Shop,Border Crossing,Chinese Restaurant,Sandwich Place,Supermarket
CHANGI BAY,East,1.7,0.0,0.0,1.3168496,104.0206494,0,0,0,0.0,0.0,4,Boat or Ferry,Harbor / Marina,Pizza Place,Smoke Shop,History Museum,Military Base,Fish & Chips Shop,Exhibit,Farm,Farmers Market
CHOA CHU KANG,West,6.11,190890.0,30000.0,1.3847493,103.7445341,57290,114980,18830,9.853479853479854,2.0,3,Fast Food Restaurant,Coffee Shop,Food Court,Golf Course,Bus Station,Soccer Stadium,Café,Supermarket,Asian Restaurant,Beer Garden
CLEMENTI,West,9.49,92420.0,9800.0,1.3151003,103.7652311,22130,52670,18110,19.491981487460983,2.0,3,Food Court,Chinese Restaurant,Asian Restaurant,Indian Restaurant,Coffee Shop,Dessert Shop,Bakery,Fast Food Restaurant,Supermarket,Café
