Subzone,0_to_24,25_to_64,65_and_over,total_population,nursinghome_count,Name,latitude,longitude
ANG MO KIO TOWN CENTRE,1360,2790,740,4890,0.0,ANG MO KIO,1.3727695761860403,103.84681301841836
CHENG SAN,5700,16740,5780,28220,0.0,ANG MO KIO,1.372714745474033,103.85409527793767
CHONG BOON,5270,15380,6280,26930,1.0,ANG MO KIO,1.364264760780651,103.8556525911549
KEBUN BAHRU,4850,13330,4960,23140,0.0,ANG MO KIO,1.3734668818230367,103.8396100850153
SEMBAWANG HILLS,1880,3630,1260,6770,0.0,ANG MO KIO,1.3747151184992756,103.8307659472626
SHANGRI-LA,3390,9250,3480,16120,1.0,ANG MO KIO,1.367972101227032,103.83839294192065
TAGORE,2030,4590,1420,8040,1.0,ANG MO KIO,1.3868055180281966,103.8283384086064
TOWNSVILLE,4350,12220,4980,21550,0.0,ANG MO KIO,1.3653546347781165,103.84847265220901
YIO CHU KANG,0,0,0,0,0.0,ANG MO KIO,1.3855809451319985,103.84629172578194
YIO CHU KANG EAST,1140,2390,670,4200,1.0,ANG MO KIO,1.383470381668926,103.85339606284435
YIO CHU KANG NORTH,0,0,0,0,0.0,ANG MO KIO,1.3936968809633783,103.84685107272975
YIO CHU KANG WEST,5910,14150,4510,24570,0.0,ANG MO KIO,1.3812816736183209,103.84006236257162
BAYSHORE,2050,4400,930,7380,0.0,BEDOK,1.3138402792439348,103.94865077218361
BEDOK NORTH,18620,48010,16050,82680,0.0,BEDOK,1.3304270617759253,103.93601636764924
BEDOK RESERVOIR,6930,15300,3400,25630,0.0,BEDOK,1.3400407240001446,103.92632946773062
BEDOK SOUTH,10800,26890,9900,47590,2.0,BEDOK,1.3214427880860997,103.94455412328504
FRANKEL,9220,19440,5680,34340,2.0,BEDOK,1.3147789961147198,103.92042896745974
KAKI BUKIT,8900,22760,6120,37780,0.0,BEDOK,1.3355776676479272,103.9095647327668
KEMBANGAN,8380,22080,7610,38070,2.0,BEDOK,1.3248058446555204,103.91561441706956
SIGLAP,1360,3510,1630,6500,0.0,BEDOK,1.3065907665620635,103.92708615731875
BISHAN EAST,6340,17030,5340,28710,0.0,BISHAN,1.3498239024709968,103.85301426282524
MARYMOUNT,8000,17800,4200,30000,0.0,BISHAN,1.354359976422624,103.84488836493922
UPPER THOMSON,7100,16650,5770,29520,2.0,BISHAN,1.3576666287214243,103.83228241743844
LIU FANG,0,0,0,0,0.0,BOON LAY,1.318252785346074,103.70823222532877
SAMULUN,0,0,0,0,0.0,BOON LAY,1.3080605950593989,103.70229686603261
SHIPYARD,0,0,0,0,0.0,BOON LAY,1.3074972927355635,103.68928282317691
TUKANG,0,0,0,0,0.0,BOON LAY,1.3256504161450713,103.70925049859922
BRICKWORKS,4410,9940,770,15120,1.0,BUKIT BATOK,1.3556566786682271,103.7422188194691
BUKIT BATOK CENTRAL,7020,16370,3990,27380,0.0,BUKIT BATOK,1.3479944661053809,103.75041327741992
BUKIT BATOK EAST,2760,7960,2150,12870,0.0,BUKIT BATOK,1.3491364506910886,103.75753706852879
BUKIT BATOK SOUTH,4270,9340,1460,15070,0.0,BUKIT BATOK,1.3410393573105397,103.75812597961375
BUKIT BATOK WEST,3800,8960,2240,15000,0.0,BUKIT BATOK,1.3474801418330382,103.7422572896769
GOMBAK,2700,5840,1500,10040,0.0,BUKIT BATOK,1.369287862507186,103.75748559468641
GUILIN,3370,7920,1790,13080,1.0,BUKIT BATOK,1.3554639619912086,103.75381202078755
HILLVIEW,5400,11440,2300,19140,1.0,BUKIT BATOK,1.3556494784852378,103.76391929380297
HONG KAH NORTH,6490,16240,3710,26440,0.0,BUKIT BATOK,1.3627121368132,103.74800378679267
ALEXANDRA HILL,2910,7560,3310,13780,1.0,BUKIT MERAH,1.2875058231434358,103.80958651207253
ALEXANDRA NORTH,580,1420,120,2120,0.0,BUKIT MERAH,1.2922810195404593,103.82027399793391
BUKIT HO SWEE,2850,8340,3590,14780,0.0,BUKIT MERAH,1.289671676868079,103.830443810264
BUKIT MERAH,250,590,260,1100,0.0,BUKIT MERAH,1.2820142144698892,103.81858972414358
CITY TERMINALS,0,0,0,0,0.0,BUKIT MERAH,1.2653054261547114,103.8367989460218
